,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,GAPDH,NRT,BW,,34.1734488174328,34.1734488174328,0,NaN,NaN,NaN,0,55,
,A02,SYBR,GAPDH,NRT,dAcrB,,34.3086203458086,34.3086203458086,0,NaN,NaN,NaN,0,55,
,A03,SYBR,GAPDH,NRT,Off,,32.9739031584693,32.9739031584693,0,NaN,NaN,NaN,0,55,
,A04,SYBR,GAPDH,NRT,Low,,34.5253738441512,34.5253738441512,0,NaN,NaN,NaN,0,55,
,A05,SYBR,GAPDH,NRT,Mid,,32.1151101075393,32.1151101075393,0,NaN,NaN,NaN,0,55,
,A06,SYBR,GAPDH,NRT,High,,33.5212469960397,33.5212469960397,0,NaN,NaN,NaN,0,55,
,A07,SYBR,GAPDH,NRT,BW,,NaN,0,0,NaN,NaN,0,0,55,
,A08,SYBR,GAPDH,NRT,dOmpF,,NaN,0,0,NaN,NaN,0,0,55,
,A09,SYBR,GAPDH,NRT,Off,,33.9212201997759,33.9212201997759,0,NaN,NaN,NaN,0,55,
,A10,SYBR,GAPDH,NRT,Low,,34.1607073065395,34.1607073065395,0,NaN,NaN,NaN,0,55,
,B01,SYBR,GAPDH,NRT,BW,,NaN,0,0,NaN,NaN,0,0,55,
,B02,SYBR,GAPDH,NRT,dAcrB,,NaN,0,0,NaN,NaN,0,0,55,
,B03,SYBR,GAPDH,NRT,Off,,NaN,0,0,NaN,NaN,0,0,55,
,B04,SYBR,GAPDH,NRT,Low,,NaN,0,0,NaN,NaN,0,0,55,
,B05,SYBR,GAPDH,NRT,Mid,,33.0196578103261,33.0196578103261,0,NaN,NaN,NaN,0,55,
,B06,SYBR,GAPDH,NRT,High,,33.529627221197,33.529627221197,0,NaN,NaN,NaN,0,55,
,B07,SYBR,GAPDH,NRT,BW,,NaN,0,0,NaN,NaN,0,0,55,
,B08,SYBR,GAPDH,NRT,dOmpF,,33.5037477182272,33.5037477182272,0,NaN,NaN,NaN,0,55,
,B09,SYBR,GAPDH,NRT,Off,,34.1230684851122,34.1230684851122,0,NaN,NaN,NaN,0,55,
,B10,SYBR,GAPDH,NRT,Low,,33.8301218379014,33.8301218379014,0,NaN,NaN,NaN,0,55,
,C01,SYBR,GAPDH,NTC,BW,,27.6824182717376,27.6824182717376,0,NaN,NaN,NaN,0,55,
,C02,SYBR,GAPDH,NTC,dAcrB,,24.144333556183,24.144333556183,0,NaN,NaN,NaN,0,55,
,C03,SYBR,GAPDH,NTC,Off,,24.2540565075325,24.2540565075325,0,NaN,NaN,NaN,0,55,
,C04,SYBR,GAPDH,NTC,Low,,25.3768791502168,25.3768791502168,0,NaN,NaN,NaN,0,55,
,C05,SYBR,GAPDH,NTC,Mid,,24.1552015022479,24.1552015022479,0,NaN,NaN,NaN,0,55,
,C06,SYBR,GAPDH,NTC,High,,NaN,0,0,NaN,NaN,0,0,55,
,C07,SYBR,GAPDH,NTC,BW,,27.6837165325888,27.6837165325888,0,NaN,NaN,NaN,0,55,
,C08,SYBR,GAPDH,NTC,dOmpF,,24.3109984963777,24.3109984963777,0,NaN,NaN,NaN,0,55,
,C09,SYBR,GAPDH,NTC,Off,,30.531106670106,30.531106670106,0,NaN,NaN,NaN,0,55,
,C10,SYBR,GAPDH,NTC,Low,,23.1319595683782,23.1319595683782,0,NaN,NaN,NaN,0,55,
,D01,SYBR,GAPDH,NTC,BW,,28.3217844319999,28.3217844319999,0,NaN,NaN,NaN,0,55,
,D02,SYBR,GAPDH,NTC,dAcrB,,25.5922496962387,25.5922496962387,0,NaN,NaN,NaN,0,55,
,D03,SYBR,GAPDH,NTC,Off,,23.900570275232,23.900570275232,0,NaN,NaN,NaN,0,55,
,D04,SYBR,GAPDH,NTC,Low,,25.0237042294812,25.0237042294812,0,NaN,NaN,NaN,0,55,
,D05,SYBR,GAPDH,NTC,Mid,,24.5809741548295,24.5809741548295,0,NaN,NaN,NaN,0,55,
,D06,SYBR,GAPDH,NTC,High,,22.9096101948694,22.9096101948694,0,NaN,NaN,NaN,0,55,
,D07,SYBR,GAPDH,NTC,BW,,27.4550511333009,27.4550511333009,0,NaN,NaN,NaN,0,55,
,D08,SYBR,GAPDH,NTC,dOmpF,,24.4331446455965,24.4331446455965,0,NaN,NaN,NaN,0,55,
,D09,SYBR,GAPDH,NTC,Off,,30.599043498943,30.599043498943,0,NaN,NaN,NaN,0,55,
,D10,SYBR,GAPDH,NTC,Low,,23.2342677907332,23.2342677907332,0,NaN,NaN,NaN,0,55,
,E01,SYBR,GAPDH,NTC,BW,,27.9522259665462,27.9522259665462,0,NaN,NaN,NaN,0,55,
,E02,SYBR,GAPDH,NTC,dAcrB,,25.3282436286571,25.3282436286571,0,NaN,NaN,NaN,0,55,
,E03,SYBR,GAPDH,NTC,Off,,23.5087059657074,23.5087059657074,0,NaN,NaN,NaN,0,55,
,E04,SYBR,GAPDH,NTC,Low,,24.84865326029,24.84865326029,0,NaN,NaN,NaN,0,55,
,E05,SYBR,GAPDH,NTC,Mid,,24.3095619447863,24.3095619447863,0,NaN,NaN,NaN,0,55,
,E06,SYBR,GAPDH,NTC,High,,23.4711175287332,23.4711175287332,0,NaN,NaN,NaN,0,55,
,E07,SYBR,GAPDH,NTC,BW,,27.1822591639999,27.1822591639999,0,NaN,NaN,NaN,0,55,
,E08,SYBR,GAPDH,NTC,dOmpF,,24.0472847809768,24.0472847809768,0,NaN,NaN,NaN,0,55,
,E09,SYBR,GAPDH,NTC,Off,,29.620499605025,29.620499605025,0,NaN,NaN,NaN,0,55,
,E10,SYBR,GAPDH,NTC,Low,,22.9503262025142,22.9503262025142,0,NaN,NaN,NaN,0,55,
,F01,SYBR,acrB,Unkn,BW,,31.2608155251066,31.2608155251066,0,NaN,NaN,NaN,0,55,
,F02,SYBR,acrB,Unkn,dAcrB,,32.890646309628,32.890646309628,0,NaN,NaN,NaN,0,55,
,F03,SYBR,acrB,Unkn,Off,,27.4222908818862,27.4222908818862,0,NaN,NaN,NaN,0,55,
,F04,SYBR,acrB,Unkn,Low,,28.2752029611058,28.2752029611058,0,NaN,NaN,NaN,0,55,
,F05,SYBR,acrB,Unkn,Mid,,28.9175733677707,28.9175733677707,0,NaN,NaN,NaN,0,55,
,F06,SYBR,acrB,Unkn,High,,27.5432738545571,27.5432738545571,0,NaN,NaN,NaN,0,55,
,F07,SYBR,ompF,Unkn,BW,,25.8254591566343,25.8254591566343,0,NaN,NaN,NaN,0,55,
,F08,SYBR,ompF,Unkn,dOmpF,,29.5348685174791,29.5348685174791,0,NaN,NaN,NaN,0,55,
,F09,SYBR,ompF,Unkn,Off,,NaN,0,0,NaN,NaN,0,0,55,
,F10,SYBR,ompF,Unkn,Low,,22.3491139555407,22.3491139555407,0,NaN,NaN,NaN,0,55,
,G01,SYBR,acrB,Unkn,BW,,30.1698162992365,30.1698162992365,0,NaN,NaN,NaN,0,55,
,G02,SYBR,acrB,Unkn,dAcrB,,32.0216342141277,32.0216342141277,0,NaN,NaN,NaN,0,55,
,G03,SYBR,acrB,Unkn,Off,,27.1120201000262,27.1120201000262,0,NaN,NaN,NaN,0,55,
,G04,SYBR,acrB,Unkn,Low,,28.062660705119,28.062660705119,0,NaN,NaN,NaN,0,55,
,G05,SYBR,acrB,Unkn,Mid,,28.3710352708641,28.3710352708641,0,NaN,NaN,NaN,0,55,
,G06,SYBR,acrB,Unkn,High,,26.8181464072193,26.8181464072193,0,NaN,NaN,NaN,0,55,
,G07,SYBR,ompF,Unkn,BW,,29.1351456289724,29.1351456289724,0,NaN,NaN,NaN,0,55,
,G08,SYBR,ompF,Unkn,dOmpF,,29.3001116506888,29.3001116506888,0,NaN,NaN,NaN,0,55,
,G09,SYBR,ompF,Unkn,Off,,29.0910937790205,29.0910937790205,0,NaN,NaN,NaN,0,55,
,G10,SYBR,ompF,Unkn,Low,,22.0046222800558,22.0046222800558,0,NaN,NaN,NaN,0,55,
,H01,SYBR,acrB,Unkn,BW,,30.1002905997902,30.1002905997902,0,NaN,NaN,NaN,0,55,
,H02,SYBR,acrB,Unkn,dAcrB,,32.2241745685701,32.2241745685701,0,NaN,NaN,NaN,0,55,
,H03,SYBR,acrB,Unkn,Off,,27.4820132103149,27.4820132103149,0,NaN,NaN,NaN,0,55,
,H04,SYBR,acrB,Unkn,Low,,27.9740873922271,27.9740873922271,0,NaN,NaN,NaN,0,55,
,H05,SYBR,acrB,Unkn,Mid,,28.8005048526257,28.8005048526257,0,NaN,NaN,NaN,0,55,
,H06,SYBR,acrB,Unkn,High,,28.325775112953,28.325775112953,0,NaN,NaN,NaN,0,55,
,H07,SYBR,ompF,Unkn,BW,,25.9298466048632,25.9298466048632,0,NaN,NaN,NaN,0,55,
,H08,SYBR,ompF,Unkn,dOmpF,,29.8281754360019,29.8281754360019,0,NaN,NaN,NaN,0,55,
,H09,SYBR,ompF,Unkn,Off,,29.0042597105288,29.0042597105288,0,NaN,NaN,NaN,0,55,
,H10,SYBR,ompF,Unkn,Low,,22.2273492215863,22.2273492215863,0,NaN,NaN,NaN,0,55,
